ls_cost,ls_amount
1000.0,4.5
1.002e6,4.5
2.003e6,4.5
3.004e6,4.5
4.005e6,4.5
5.006e6,4.5
6.007e6,4.5
7.008e6,4.5
8.009e6,4.5
9.01e6,4.5
1.0011e7,4.5
1.1012e7,4.5
1.2013e7,4.5
1.3014e7,4.5
1.4015e7,4.5
1.5016e7,4.5
1.6017e7,4.5
1.7018e7,4.5
1.8019e7,4.5
1.902e7,4.5
2.0021e7,4.5
2.1022e7,4.5
2.2023e7,4.5
2.3024e7,4.5
2.4025e7,4.5
2.5026e7,4.5
2.6027e7,4.5
2.7028e7,4.5
2.8029e7,4.5
2.903e7,4.5
3.0031e7,4.5
3.1032e7,4.5
3.2033e7,4.5
3.3034e7,4.5
3.4035e7,4.5
3.5036e7,4.5
3.6037e7,4.5
3.7038e7,4.5
3.8039e7,4.5
3.904e7,4.5
4.0041e7,4.5
4.1042e7,4.5
4.2043e7,4.5
4.3044e7,4.5
4.4045e7,4.5
4.5046e7,4.5
4.6047e7,4.5
4.7048e7,4.5
4.8049e7,4.5
4.905e7,4.5
5.0051e7,4.5
5.1052e7,4.5
5.2053e7,4.5
5.3054e7,4.5
5.4055e7,4.5
5.5056e7,4.5
5.6057e7,4.5
5.7058e7,4.5
5.8059e7,4.5
5.906e7,4.5
6.0061e7,4.5
6.1062e7,4.5
6.2063e7,4.5
6.3064e7,4.5
6.4065e7,4.5
6.5066e7,4.5
6.6067e7,4.5
6.7068e7,4.5
6.8069e7,4.5
6.907e7,4.5
7.0071e7,4.5
7.1072e7,4.5
7.2073e7,4.5
7.3074e7,4.5
7.4075e7,4.5
7.5076e7,4.5
7.6077e7,4.5
7.7078e7,4.5
7.8079e7,4.5
7.908e7,4.5
8.0081e7,4.5
8.1082e7,4.5
8.2083e7,4.5
8.3084e7,4.5
8.4085e7,4.5
8.5086e7,4.5
8.6087e7,4.5
8.7088e7,4.5
8.8089e7,4.5
8.909e7,4.5
9.0091e7,4.5
9.1092e7,4.5
9.2093e7,4.5
9.3094e7,4.5
9.4095e7,4.5
9.5096e7,4.5
9.6097e7,4.5
9.7098e7,4.5
9.8099e7,4.5
9.91e7,4.5
1.00101e8,4.5
1.01102e8,4.5
1.02103e8,4.5
1.03104e8,4.5
1.04105e8,4.5
1.05106e8,4.5
1.06107e8,4.5
1.07108e8,4.5
1.08109e8,4.5
1.0911e8,4.5
1.10111e8,4.5
1.11112e8,4.5
1.12113e8,4.5
1.13114e8,4.5
1.14115e8,4.5
1.15116e8,4.5
1.16117e8,4.5
1.17118e8,4.5
1.18119e8,4.5
1.1912e8,4.5
1.20121e8,4.5
1.21122e8,4.5
1.22123e8,4.5
1.23124e8,4.5
1.24125e8,4.5
1.25126e8,4.5
1.26127e8,4.5
1.27128e8,4.5
1.28129e8,4.5
1.2913e8,4.5
1.30131e8,4.5
1.31132e8,4.5
1.32133e8,4.5
1.33134e8,4.5
1.34135e8,4.5
1.35136e8,4.5
1.36137e8,4.5
1.37138e8,4.5
1.38139e8,4.5
1.3914e8,4.5
1.40141e8,4.5
1.41142e8,4.5
1.4214299e8,4.5
1.43144e8,4.5
1.44145e8,4.5
1.45146e8,4.5
1.46147e8,4.5
1.47148e8,4.5
1.48149e8,4.5
1.4915e8,4.5
1.50151e8,4.5
1.51152e8,4.5
1.52153e8,4.5
1.53154e8,4.5
1.54155e8,4.5
1.55156e8,4.5
1.56157e8,4.5
1.57158e8,4.5
1.58159e8,4.5
1.5916e8,4.5
1.60161e8,4.5
1.61162e8,4.5
1.62163e8,4.5
1.63164e8,4.5
1.64165e8,4.5
1.65166e8,4.5
1.66167e8,4.5
1.67168e8,4.5
1.6816901e8,4.5
1.6917e8,4.5
1.70171e8,4.5
1.71172e8,4.5
1.7217301e8,4.5
1.73174e8,4.5
1.74175e8,4.5
1.75176e8,4.5
1.76177e8,4.5
1.77178e8,4.5
1.78179e8,4.5
1.7918e8,4.5
1.80181e8,4.5
1.81182e8,4.5
1.82183e8,4.5
1.83184e8,4.5
1.84185e8,4.5
1.85186e8,4.5
1.86187e8,4.5
1.87188e8,4.5
1.88189e8,4.5
1.8919e8,4.5
1.9019099e8,4.5
1.91192e8,4.5
1.92193e8,4.5
1.93194e8,4.5
1.94195e8,4.5
1.95196e8,4.5
1.96197e8,4.5
1.97198e8,4.5
1.98199e8,4.5
1.992e8,4.5
2.00201e8,4.5
2.01202e8,4.5
2.02203e8,4.5
2.03204e8,4.5
2.04205e8,4.5
2.05206e8,4.5
2.06207e8,4.5
2.07208e8,4.5
2.08209e8,4.5
2.0921e8,4.5
2.10211e8,4.5
2.11212e8,4.5
2.12213e8,4.5
2.13214e8,4.5
2.14215e8,4.5
2.15216e8,4.5
2.1621701e8,4.5
2.17218e8,4.5
2.18219e8,4.5
2.1922e8,4.5
2.2022101e8,4.5
2.21222e8,4.5
2.22223e8,4.5
2.23224e8,4.5
2.24225e8,4.5
2.25226e8,4.5
2.26227e8,4.5
2.27228e8,4.5
2.28229e8,4.5
2.2923e8,4.5
2.30231e8,4.5
2.31232e8,4.5
2.32233e8,4.5
2.33234e8,4.5
2.34235e8,4.5
2.35236e8,4.5
2.36237e8,4.5
2.37238e8,4.5
2.3823899e8,4.5
2.3924e8,4.5
2.40241e8,4.5
2.41242e8,4.5
2.42243e8,4.5
2.43244e8,4.5
2.44245e8,4.5
2.45246e8,4.5
2.46247e8,4.5
2.47248e8,4.5
2.48249e8,4.5
2.4925e8,4.5
2.50251e8,4.5
2.51252e8,4.5
2.52253e8,4.5
2.53254e8,4.5
2.54255e8,4.5
2.55256e8,4.5
2.56257e8,4.5
2.57258e8,4.5
2.58259e8,4.5
2.5926e8,4.5
2.6026101e8,4.5
2.61262e8,4.5
2.6226299e8,4.5
2.63264e8,4.5
2.64265e8,4.5
2.65266e8,4.5
2.66267e8,4.5
2.67268e8,4.5
2.6826901e8,4.5
2.6926998e8,4.5
2.70271e8,4.5
2.71272e8,4.5
2.72273e8,4.5
2.73274e8,4.5
2.74275e8,4.5
2.75276e8,4.5
2.76277e8,4.5
2.77278e8,4.5
2.78279e8,4.5
2.7928e8,4.5
2.80281e8,4.5
2.81282e8,4.5
2.82283e8,4.5
2.83284e8,4.5
2.84285e8,4.5
2.85286e8,4.5
2.86287e8,4.5
2.87288e8,4.5
2.88289e8,4.5
2.8929e8,4.5
2.90291e8,4.5
2.91292e8,4.5
2.92293e8,4.5
2.93294e8,4.5
2.94295e8,4.5
2.95296e8,4.5
2.96297e8,4.5
2.97298e8,4.5
2.98299e8,4.5
2.993e8,4.5
3.00301e8,4.5
3.01302e8,4.5
3.02303e8,4.5
3.03304e8,4.5
3.04305e8,4.5
3.05306e8,4.5
3.06307e8,4.5
3.07308e8,4.5
3.08309e8,4.5
3.0931e8,4.5
3.10311e8,4.5
3.11312e8,4.5
3.12313e8,4.5
3.13314e8,4.5
3.14315e8,4.5
3.15316e8,4.5
3.16317e8,4.5
3.17318e8,4.5
3.18319e8,4.5
3.1932e8,4.5
3.20321e8,4.5
3.21322e8,4.5
3.22323e8,4.5
3.23324e8,4.5
3.24325e8,4.5
3.25326e8,4.5
3.26327e8,4.5
3.27328e8,4.5
3.28329e8,4.5
3.2933002e8,4.5
3.30331e8,4.5
3.31332e8,4.5
3.32333e8,4.5
3.33334e8,4.5
3.34335e8,4.5
3.35336e8,4.5
3.36337e8,4.5
3.37338e8,4.5
3.38339e8,4.5
3.3934e8,4.5
3.40341e8,4.5
3.41342e8,4.5
3.42343e8,4.5
3.43344e8,4.5
3.44345e8,4.5
3.45346e8,4.5
3.46347e8,4.5
3.47348e8,4.5
3.48349e8,4.5
3.4935e8,4.5
3.50351e8,4.5
3.51352e8,4.5
3.52353e8,4.5
3.53354e8,4.5
3.54355e8,4.5
3.55356e8,4.5
3.56357e8,4.5
3.5735798e8,4.5
3.58359e8,4.5
3.5936e8,4.5
3.60361e8,4.5
3.61362e8,4.5
3.62363e8,4.5
3.63364e8,4.5
3.64365e8,4.5
3.6536598e8,4.5
3.66367e8,4.5
3.67368e8,4.5
3.68369e8,4.5
3.6937e8,4.5
3.70371e8,4.5
3.71372e8,4.5
3.72373e8,4.5
3.73374e8,4.5
3.74375e8,4.5
3.75376e8,4.5
3.76377e8,4.5
3.77378e8,4.5
3.78379e8,4.5
3.7938e8,4.5
3.80381e8,4.5
3.81382e8,4.5
3.82383e8,4.5
3.83384e8,4.5
3.84385e8,4.5
3.85386e8,4.5
3.86387e8,4.5
3.87388e8,4.5
3.88389e8,4.5
3.8939e8,4.5
3.90391e8,4.5
3.91392e8,4.5
3.92393e8,4.5
3.93394e8,4.5
3.94395e8,4.5
3.95396e8,4.5
3.96397e8,4.5
3.97398e8,4.5
3.98399e8,4.5
3.994e8,4.5
4.00401e8,4.5
4.01402e8,4.5
4.02403e8,4.5
4.03404e8,4.5
4.04405e8,4.5
4.05406e8,4.5
4.06407e8,4.5
4.07408e8,4.5
4.08409e8,4.5
4.0941e8,4.5
4.10411e8,4.5
4.11412e8,4.5
4.12413e8,4.5
4.13414e8,4.5
4.14415e8,4.5
4.15416e8,4.5
4.16417e8,4.5
4.17418e8,4.5
4.18419e8,4.5
4.1942e8,4.5
4.20421e8,4.5
4.21422e8,4.5
4.22423e8,4.5
4.23424e8,4.5
4.24425e8,4.5
4.2542602e8,4.5
4.26427e8,4.5
4.27428e8,4.5
4.28429e8,4.5
4.2943e8,4.5
4.30431e8,4.5
4.31432e8,4.5
4.32433e8,4.5
4.33434e8,4.5
4.34435e8,4.5
4.35436e8,4.5
4.36437e8,4.5
4.37438e8,4.5
4.38439e8,4.5
4.3944e8,4.5
4.40441e8,4.5
4.41442e8,4.5
4.42443e8,4.5
4.43444e8,4.5
4.44445e8,4.5
4.45446e8,4.5
4.46447e8,4.5
4.47448e8,4.5
4.48449e8,4.5
4.4945e8,4.5
4.50451e8,4.5
4.51452e8,4.5
4.52453e8,4.5
4.5345398e8,4.5
4.54455e8,4.5
4.55456e8,4.5
4.56457e8,4.5
4.57458e8,4.5
4.58459e8,4.5
4.5946e8,4.5
